urls,date,processing_timestamp
https://data.gesdisc.earthdata.nasa.gov/data/Aura_OMI_Level3/OMHCHOd.003/2025/OMI-Aura_L3-OMHCHOd_2025m0801_v003-2025m0802t073130.nc,2025-08-01 0:00:00,2025-08-02 7:31:30
https://data.gesdisc.earthdata.nasa.gov/data/Aura_OMI_Level3/OMHCHOd.003/2025/OMI-Aura_L3-OMHCHOd_2025m0731_v003-2025m0801t063054.nc,2025-07-31 0:00:00,2025-08-01 6:30:54
https://data.gesdisc.earthdata.nasa.gov/data/Aura_OMI_Level3/OMHCHOd.003/2025/OMI-Aura_L3-OMHCHOd_2025m0730_v003-2025m0731t075819.nc,2025-07-30 0:00:00,2025-07-31 7:58:19
https://data.gesdisc.earthdata.nasa.gov/data/Aura_OMI_Level3/OMHCHOd.003/2025/OMI-Aura_L3-OMHCHOd_2025m0729_v003-2025m0730t065246.nc,2025-07-29 0:00:00,2025-07-30 6:52:46
https://data.gesdisc.earthdata.nasa.gov/data/Aura_OMI_Level3/OMHCHOd.003/2025/OMI-Aura_L3-OMHCHOd_2025m0728_v003-2025m0729t074949.nc,2025-07-28 0:00:00,2025-07-29 7:49:49
https://data.gesdisc.earthdata.nasa.gov/data/Aura_OMI_Level3/OMHCHOd.003/2025/OMI-Aura_L3-OMHCHOd_2025m0727_v003-2025m0728t074353.nc,2025-07-27 0:00:00,2025-07-28 7:43:53
https://data.gesdisc.earthdata.nasa.gov/data/Aura_OMI_Level3/OMHCHOd.003/2025/OMI-Aura_L3-OMHCHOd_2025m0726_v003-2025m0727t063640.nc,2025-07-26 0:00:00,2025-07-27 6:36:40
https://data.gesdisc.earthdata.nasa.gov/data/Aura_OMI_Level3/OMHCHOd.003/2025/OMI-Aura_L3-OMHCHOd_2025m0725_v003-2025m0726t073728.nc,2025-07-25 0:00:00,2025-07-26 7:37:28
https://data.gesdisc.earthdata.nasa.gov/data/Aura_OMI_Level3/OMHCHOd.003/2025/OMI-Aura_L3-OMHCHOd_2025m0724_v003-2025m0725t062841.nc,2025-07-24 0:00:00,2025-07-25 6:28:41
https://data.gesdisc.earthdata.nasa.gov/data/Aura_OMI_Level3/OMHCHOd.003/2025/OMI-Aura_L3-OMHCHOd_2025m0723_v003-2025m0724t072509.nc,2025-07-23 0:00:00,2025-07-24 7:25:09
